Title,Location,Company,Summary
CTO 혁신추진실 AID팀 Machine Learning&AI 정규직,서울 강남구,이투스교육,"구축 지원자격 ﻿일반적인 Back-end 시스템 설계 및 개발 ML/AI 시스템 아키텍쳐 설계 경험 Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 머신러닝 프레임워크 경험자 (TensorFlow..."
대용량 분석환경 구축 경력사원 모집,서울 재동,지에스아이티엠GSITM,"자격요건 - 유관 경력 5년 이상 - 요건분석 및 설계 가능하신 분 - 프로그램 언어 가능자 (Java, python, R 등) 우대사항 - 대용량 데이터 수집, 처리, 저장 기술 및 분산 처리 플랫폼 기술..."
"Manager Consumer Data Seoul, South Korea...",서울,Philip Morris International,"functions • Significant proficiency in SQL, R... Python • Proficient user of MS Power Pivot, Power View, Power BI..."
Front-end 웹/앱 개발자 (병역특례 가능),서울 마포구,스마트디아그노시스,"하여 Python기반의 Window App 개발 경험 보유 [담당업무] - Android, React(web) 기반의 UI위주의 구현 - Python... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
[코그넥스] 딥러닝 연구원 (신입/경력/전문연구요원),서울 서초구,코그넥스코리아,"network 등) - Deep Learning 방법론에 대한 데모 프로그램 제작 및 제품화 코드 작성 ( Python / C++) - 다양한 종류의 제조업 이미지 데이터에 대한 탐색, 분석 및 전처리 모듈 구현 - 최신..."
[NAVER Cloud] Network Engineering 경력사원,서울,네이버,"대규모 네트워크 설계, 구축, 운영경험이 있는 분 - 운영 자동화를 위한 운영도구 개발 경험이 있는 분 - Python, Ansible 등에 대한 이해와 이를 활용한 개발 경험이 있는 분 - 클라우드 네트워크 설계/구축/운영..."
"Engineering Manager, Messaging Server",서울,Sendbird,experience building SaaS-based API Proficient in Python or Java Ability to find the optimal solution given the resource...
건강식품 상품기획 / 영업 / 개발 / 온라인 MD,서울 동대문구,네이처프라임,프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|무역·영업·판매·매장관리>일반·법인영업>일반영업|무역·영업·판매·매장관리>일반·법인영업>법인영업|유통·물류...
동국대학교 데이터분석팀 연구원(계약직) 채용공고,서울 필동,동국대학교,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : O명 3. 근무조건 및 계약기간 구 분..."
부정행위 탐지를 위한 분석 전문가 모집,성남 판교역,엔씨소프트,활용 가능 우대사항 - 게임 LOG를 활용한 데이터 분석 및 부정사용자 탐지 업무 실무 경험 - R 또는 Python을 통한 통계 및 분석 능력 제출서류 필수 제출서류 없음 전형단계 서류전형 1차 면접 NC TEST 2차...
